image,label,split
Tr-gl_1135.jpg,glioma,training
Tr-gl_893.jpg,glioma,training
Tr-gl_139.jpg,glioma,training
Tr-gl_887.jpg,glioma,training
Tr-gl_1121.jpg,glioma,training
Tr-gl_677.jpg,glioma,training
Tr-gl_1109.jpg,glioma,training
Tr-gl_111.jpg,glioma,training
Tr-gl_105.jpg,glioma,training
Tr-gl_663.jpg,glioma,training
Tr-gl_688.jpg,glioma,training
Tr-gl_850.jpg,glioma,training
Tr-gl_844.jpg,glioma,training
Tr-gl_878.jpg,glioma,training
Tr-gl_449.jpg,glioma,training
Tr-gl_1337.jpg,glioma,training
Tr-gl_1323.jpg,glioma,training
Tr-gl_313.jpg,glioma,training
Tr-gl_475.jpg,glioma,training
Tr-gl_461.jpg,glioma,training
Tr-me_1076.jpg,meningioma,training
Tr-me_1062.jpg,meningioma,training
Tr-me_449.jpg,meningioma,training
Tr-me_461.jpg,meningioma,training
Tr-me_1089.jpg,meningioma,training
Tr-me_307.jpg,meningioma,training
Tr-me_313.jpg,meningioma,training
Tr-me_475.jpg,meningioma,training
Tr-me_1274.jpg,meningioma,training
Tr-me_844.jpg,meningioma,training
Tr-me_850.jpg,meningioma,training
Tr-me_688.jpg,meningioma,training
Tr-me_1260.jpg,meningioma,training
Tr-me_1248.jpg,meningioma,training
Tr-me_878.jpg,meningioma,training
Tr-me_139.jpg,meningioma,training
Tr-me_887.jpg,meningioma,training
Tr-me_893.jpg,meningioma,training
Tr-me_105.jpg,meningioma,training
Tr-me_663.jpg,meningioma,training
Tr-pi_766.jpg,pituitary,training
Tr-pi_1169.jpg,pituitary,training
Tr-pi_772.jpg,pituitary,training
Tr-pi_982.jpg,pituitary,training
Tr-pi_1141.jpg,pituitary,training
Tr-pi_1155.jpg,pituitary,training
Tr-pi_996.jpg,pituitary,training
Tr-pi_969.jpg,pituitary,training
Tr-pi_799.jpg,pituitary,training
Tr-pi_941.jpg,pituitary,training
Tr-pi_1182.jpg,pituitary,training
Tr-pi_1196.jpg,pituitary,training
Tr-pi_955.jpg,pituitary,training
Tr-pi_2.jpg,pituitary,training
Tr-pi_202.jpg,pituitary,training
Tr-pi_564.jpg,pituitary,training
Tr-pi_51.jpg,pituitary,training
Tr-pi_45.jpg,pituitary,training
Tr-pi_570.jpg,pituitary,training
Tr-pi_216.jpg,pituitary,training
Tr-no_848.jpg,notumor,training
Tr-no_690.jpg,notumor,training
Tr-no_684.jpg,notumor,training
Tr-no_874.jpg,notumor,training
Tr-no_860.jpg,notumor,training
Tr-no_135.jpg,notumor,training
Tr-no_1323.jpg,notumor,training
Tr-no_653.jpg,notumor,training
Tr-no_647.jpg,notumor,training
Tr-no_121.jpg,notumor,training
Tr-no_1337.jpg,notumor,training
Tr-no_109.jpg,notumor,training
Tr-no_492.jpg,notumor,training
Tr-no_486.jpg,notumor,training
Tr-no_42.jpg,notumor,training
Tr-no_56.jpg,notumor,training
Tr-no_451.jpg,notumor,training
Tr-no_1121.jpg,notumor,training
Tr-no_337.jpg,notumor,training
Tr-no_1135.jpg,notumor,training
Te-gl_218.jpg,glioma,testing
Te-gl_224.jpg,glioma,testing
Te-gl_230.jpg,glioma,testing
Te-gl_152.jpg,glioma,testing
Te-gl_146.jpg,glioma,testing
Te-aug-me_101.jpg,meningioma,testing
Te-aug-me_25.jpg,meningioma,testing
Te-aug-me_31.jpg,meningioma,testing
Te-me_218.jpg,meningioma,testing
Te-me_230.jpg,meningioma,testing
Te-pi_335.jpg,pituitary,testing
Te-pi_321.jpg,pituitary,testing
Te-pi_309.jpg,pituitary,testing
Te-pi_13.jpg,pituitary,testing
Te-pi_137.jpg,pituitary,testing
Te-no_200.jpg,notumor,testing
Te-no_14.jpg,notumor,testing
Te-no_214.jpg,notumor,testing
Te-no_28.jpg,notumor,testing
Te-no_228.jpg,notumor,testing
